date,actif,prix,bande_basse,moyenne,bande_haute,decision,position,capital,quantite_detenue,prix_entree,pnl_pct,valeur_totale
2026-07-16 20:00:53 UTC,ETH/USD,1873.82,1869.86,1872.45,1875.04,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 20:01:18 UTC,ETH/USD,1873.7,1869.85,1872.5,1875.15,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 20:02:18 UTC,ETH/USD,1873.38,1869.85,1872.5,1875.16,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 20:03:16 UTC,ETH/USD,1873.36,1869.85,1872.49,1875.13,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 20:04:19 UTC,ETH/USD,1872.27,1869.89,1872.53,1875.18,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 20:05:25 UTC,ETH/USD,1872.53,1869.93,1872.56,1875.2,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 20:06:21 UTC,ETH/USD,1873.12,1870.0,1872.64,1875.28,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 20:07:15 UTC,ETH/USD,1873.49,1870.42,1872.8,1875.18,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 20:08:20 UTC,ETH/USD,1872.66,1870.87,1872.93,1875.0,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 20:09:17 UTC,ETH/USD,1872.51,1871.34,1873.03,1874.71,HOLD,0.0,960.09,0.0,,,960.09
2026-07-16 20:10:32 UTC,ETH/USD,1871.99,1872.06,1873.14,1874.22,"ACHAT (bande basse touchée, 1872.06)",1,0.0,0.51235846,1871.99,,959.13
2026-07-16 20:11:19 UTC,ETH/USD,1872.23,1871.99,1873.12,1874.26,HOLD,1.0,0.0,0.51235846,1871.99,,959.25
2026-07-16 20:12:18 UTC,ETH/USD,1872.24,1871.96,1873.11,1874.26,HOLD,1.0,0.0,0.51235846,1871.99,,959.26
2026-07-16 20:13:16 UTC,ETH/USD,1871.16,1871.72,1873.04,1874.36,HOLD,1.0,0.0,0.51235846,1871.99,,958.7
2026-07-16 20:14:20 UTC,ETH/USD,1871.21,1871.42,1872.95,1874.48,HOLD,1.0,0.0,0.51235846,1871.99,,958.73
2026-07-16 20:15:29 UTC,ETH/USD,1870.25,1871.17,1872.85,1874.53,HOLD,1.0,0.0,0.51235846,1871.99,,958.24
2026-07-16 20:16:21 UTC,ETH/USD,1870.23,1870.72,1872.65,1874.58,HOLD,1.0,0.0,0.51235846,1871.99,,958.23
2026-07-16 20:17:17 UTC,ETH/USD,1870.76,1870.46,1872.53,1874.61,HOLD,1.0,0.0,0.51235846,1871.99,,958.5
2026-07-16 20:18:18 UTC,ETH/USD,1870.97,1870.11,1872.39,1874.68,HOLD,1.0,0.0,0.51235846,1871.99,,958.61
2026-07-16 20:19:16 UTC,ETH/USD,1872.62,1870.08,1872.36,1874.64,VENTE (retour à la moyenne atteint),0,958.49,0.0,,0.03,958.49
2026-07-16 20:20:36 UTC,ETH/USD,1873.38,1870.19,1872.29,1874.39,HOLD,0.0,958.49,0.0,,,958.49
